diagnosis,admissions_count,los,los_avg
        MITRAL STENOSIS\MITRAL VALVE REPLACEMENT /SDA,1.0,4.0,4.0
   DUODENAL MASS/SDA,2.0,26.0,15.0
 ? SEROTONIN SYNDROME,1.0,7.0,7.0
 ABDOMINAL AORTIC ANEURYSM/SDA,1.0,34.0,34.0
 ABSENCE/SDA,1.0,6.0,6.0
 ADENOID CYSTIC CARCINOMA/SDA,3.0,3.0,10.333333333333334
 ANALOMOUS PULMANARY VEIN\ REPAIR ANALOMOUS ; PULMONARY VEIN/SDA,1.0,7.0,7.0
 AORTIC ABDOMINAL ANEURYSM/SDA,2.0,36.0,27.0
 AORTIC STENOSIS\AORTIC VALVE REPLACEMENT/SDA,1.0,7.0,7.0
 CAD\CORONARY ARTERY BYPASS GRAFT/SDA,1.0,6.0,6.0
 CAS,1.0,5.0,5.0
 CHARCOT DEFORMITY/DIABETIC MYELITIS/SDA,2.0,14.0,14.5
 CHEST PAIN,2.0,23.0,18.0
 CORONARY ARTERY DISEASE & MITRAL REGURGITATION\ CORONARY ARTERY BYPASS GRAFT W/MVR/SDA,5.0,5.0,5.2
 CORONARY ARTERY DISEASE\ BENTAL PROCEDURE; ? CORONARY ARTERY BYPASS GRAFT/SDA,9.0,16.0,8.222222222222221
 CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,1.0,4.0,4.0
 CORONATY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,1.0,5.0,5.0
 HYPOXIA,2.0,18.0,14.5
 INTRACTABLE EPILEPSY/SDA,2.0,31.0,19.0
 LEFT FOOT GANGRENE/SDA,2.0,13.0,12.5
 MELANOMA LOWER BACK/SDA,2.0,4.0,6.0
 MITRAL REGURGITATION;CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT WITH MVR  ? MITRAL VALVE REPLACEMENT /SDA,1.0,12.0,12.0
 OPEN WOUND TO THE CHEST/SDA,1.0,15.0,15.0
 PERFORATED DIVERTICULITIS STATUS/POST HARTMANN PROCEDURE/SDA,2.0,8.0,29.5
 RESIDUAL ACOM ANEURYSM/SDA,2.0,2.0,20.0
 STATUS/POST RIGHT COLON ESCHEMIA REQUIRING ILEOSTOMY/SDA,3.0,36.0,32.333333333333336
 STEMI,1.0,7.0,7.0
 THORACIC ANEURYSM\REPLACEMENT OF ASCENDING AORTIC / HEMI ARCH UNDER DEEP HYPOTHERMIC CIRCULATORY ARREST /SDA,2.0,5.0,9.0
(+)STRESS TEST;ANGINA,1.0,6.0,6.0
(AML) ACUTE MYELOGENOUS LEUKEMIA,2.1538461538461537,36.84615384615385,33.89102564102564
