insurance,gender,ethnicity,diagnosis,count
Government,F,ASIAN,BRAIN TUMOR/SDA,2.0
Government,F,ASIAN,HYPERBILIRUBINEMIA,2.0
Government,F,ASIAN,HYPONATREMIA,2.0
Government,F,ASIAN,INTRACEREBRAL HEMORRHAGE/SDA,2.0
Government,F,ASIAN,LIVER FAILURE,2.0
Government,F,ASIAN,NEWBORN,2.0
Government,F,ASIAN,PELVIC MASS,2.0
Government,F,ASIAN,POSITIVE BLOOD CULTURES,2.0
Government,F,ASIAN - ASIAN INDIAN,CHOLANGITIS,2.0
Government,F,ASIAN - CHINESE,HEMOPTYSIS,2.0
Government,F,BLACK/AFRICAN AMERICAN,"6 WEEKS,HYPERGLYCEMIA",2.0
Government,F,BLACK/AFRICAN AMERICAN,ABDOMINAL PAIN,3.5
Government,F,BLACK/AFRICAN AMERICAN,ABDOMINAL PAIN;HYPOTENSION,2.0
Government,F,BLACK/AFRICAN AMERICAN,ACIDEMIA; ELECTROLYTE ABNORMALITIES,6.0
Government,F,BLACK/AFRICAN AMERICAN,ACUTE RENAL FAILURE,2.0
Government,F,BLACK/AFRICAN AMERICAN,ALTERED MENTAL STATUS,5.0
Government,F,BLACK/AFRICAN AMERICAN,ALTERED MENTAL STATUS;DIABETIC KETOACIDOSIS,5.0
Government,F,BLACK/AFRICAN AMERICAN,ANEMIA,5.0
Government,F,BLACK/AFRICAN AMERICAN,ANEMIA;KNOWN ULCERS,2.0
Government,F,BLACK/AFRICAN AMERICAN,ANEURYSM,2.0
Government,F,BLACK/AFRICAN AMERICAN,ASTHMA EXACERBATION,2.0
Government,F,BLACK/AFRICAN AMERICAN,ASTHMA;CHRONIC OBST PULM DISEASE,2.0
Government,F,BLACK/AFRICAN AMERICAN,ASTHMA;COPD EXACERBATION,2.0
Government,F,BLACK/AFRICAN AMERICAN,BEHYDRATION,6.0
Government,F,BLACK/AFRICAN AMERICAN,BRAIN ANEURYSM/SDA,2.0
Government,F,BLACK/AFRICAN AMERICAN,CEREBRAL ANEURYSM\ CEREBRAL ANGIOGRAM; COILING/SDA,2.0
Government,F,BLACK/AFRICAN AMERICAN,CHEST PAIN,2.0
Government,F,BLACK/AFRICAN AMERICAN,CORONARY ARTERY DISEASE\CORONARY ARTERY BYPASS GRAFT/SDA,2.0
Government,F,BLACK/AFRICAN AMERICAN,DIABETIC KETOACIDOSIS,4.166666666666667
Government,F,BLACK/AFRICAN AMERICAN,DYSPNEA,5.0
Government,F,BLACK/AFRICAN AMERICAN,ENCEPHALITIS,3.0
Government,F,BLACK/AFRICAN AMERICAN,FEVER,4.0
Government,F,BLACK/AFRICAN AMERICAN,FEVER;ACUTE LYMPHATIC LEUKEMIA,5.0
Government,F,BLACK/AFRICAN AMERICAN,FEVERS,5.0
Government,F,BLACK/AFRICAN AMERICAN,GASTROINTESTINAL BLEED,7.0
Government,F,BLACK/AFRICAN AMERICAN,HEADACHE;R/O TB,3.0
Government,F,BLACK/AFRICAN AMERICAN,HEART BLOCK,3.0
Government,F,BLACK/AFRICAN AMERICAN,HYPERGLYCEMIA-DIABETIC KETOACIDOSIS,22.0
Government,F,BLACK/AFRICAN AMERICAN,HYPERTENSIVE EMERGENCY,34.0
Government,F,BLACK/AFRICAN AMERICAN,HYPOGLYCEMIA,3.5
Government,F,BLACK/AFRICAN AMERICAN,HYPOTENSION,13.5
Government,F,BLACK/AFRICAN AMERICAN,INTRAABDOMINAL BLEED,2.0
