,terms
0,aggressive periodontitis unspecified severity
1,obstructed labor malposition malpresentation unspecified applicable unspecified
2,panniculitis unspecified
3,
4,Infant born at 24 weeks gestation
5,hemiplegia hemiparesis unspecified cerebrovascular disease affecting unspecified
6,bent bone ulna fracture iiia iiib iiic
7,patent ductus arteriosus
8,injury uterine artery sequela
9,malignant neoplasm cerebral ventricle
10,unspecified complication foreign body accidentally body
11,burn localized fire board fishing boat
12,Hemorrhagic lesions on head CT
13,nondisplaced transverse fracture shaft unspecified fibula fracture nonunion
14,occupant driver passenger pick-up truck van injured specified transport accidents sequela
15,unspecified fracture unspecified femur fracture iiia iiib iiic nonunion
16,person outside pick-up truck van injured collision pedestrian traffic accident
17,corrosion degree nose septum
18,articular cartilage disorders unspecified site
19,myasthenia gravis acute exacerbation
20,west nile virus infection encephalitis
21,congenital metatarsus primus varus foot
22,crushing injury unspecified hip sequela
23,torus fracture unspecified femur fracture malunion
24,lowe's syndrome
25,displaced fracture acromial unspecified shoulder sequela
26,crushing injury wrist hand sequela
27,abrasion foot
28,intentional self-harm sword dagger sequela
29,focal chorioretinal inflammation macular paramacular bilateral
30,dislocation septal cartilage nose
31,toxoplasma tubulo-interstitial nephropathy
32,nondisplaced comminuted fracture shaft tibia fracture iiia iiib iiic nonunion
33,injury abducent nerve
34,pneumonia other bacterial agents
35,nondisplaced oblique fracture shaft unspecified ulna sequela
36,refractive amblyopia bilateral
37,acute osteomyelitis tibia fibula
38,dissection carotid artery
39,subluxation ankle joint sequela
40,major laceration unspecified internal jugular vein sequela
41,erectile dysfunction prostate ablative therapy
42,fracture shaft radius arm fracture nonunion
43,adverse effect their sequela
44,panic disorder episodic paroxysmal anxiety
45,sprain finger
46,unspecified primarily affecting gastrointestinal accidental unintentional
47,nondisplaced transverse fracture shaft ulna fracture
48,contusion laceration hemorrhage cerebellum loss consciousness death brain injury regaining consciousness
49,rodent sequela
50,unspecified injury flexor fascia tendon middle finger forearm sequela
51,spinal instabilities lumbosacral region
52,contusion lung bilateral sequela
53,cyst unspecified orbit
54,dysphonia
55, leukocytosis
56,unspecified injury extensor fascia tendon unspecified finger wrist hand
57,passenger transport injured collision pick-up truck van nontraffic accident sequela
58,laceration descending colon
59,injury internal carotid artery intracranial portion loss consciousness pre-existing conscious surviving
60,nondisplaced midcervical fracture unspecified femur fracture iiia iiib iiic healing
61,fall non-moving nonmotorized scooter sequela
62,fracture orbital floor sequela
63,person outside transport injured collision nonmotor nontraffic accident sequela
64,puerperal sepsis
65,diabetes mellitus specified complication
66,postinfective urethral stricture unspecified
67,juvenile idiopathic scoliosis lumbosacral region
68,posterior subluxation unspecified sternoclavicular joint sequela
69,corrosion degree hand unspecified site
70,Assault
71,unspecified occupant military injured nontraffic accident sequela
72,assault pipe bomb
73,inflammatory disease prostate unspecified
74,displaced transverse fracture patella fracture iiia iiib iiic malunion
75,renal perinephric abscess
76,orbital myositis bilateral
77,unspecified spacecraft accident injuring occupant
78,atherosclerosis native arteries extremities gangrene unspecified extremity
79,osteochondrosis spine lumbar region
80,Endstage liver disease
81,unstable burst fracture cervical vertebra sequela
82,displaced pilon fracture tibia fracture iiia iiib iiic malunion
83,perforation foreign body accidentally body infusion transfusion sequela
84,intentional collision train sequela
85,nondisplaced oblique fracture shaft unspecified tibia fracture malunion
86,pregnancy grand multiparity trimester
87,toxic effect unspecified undetermined
88,torus fracture radius sequela
89,occupant railway train railway injured object onto train sequela
90,acute nonsuppurative otitis media ear
91,algoneurodystrophy unspecified ankle foot
92,Cerebral hemorrhage fever
93,anterior cord syndrome unspecified thoracic spinal cord sequela
94,cysticercosis nervous
95,sprain specified parts unspecified knee
96,obesity pregnancy trimester
97,salter-harris physeal fracture humerus arm sequela
98,displaced transverse fracture shaft unspecified femur fracture
99,breakdown unspecified cardiac vascular devices implants
100, numerous facial fractures
101,driver pick-up truck van injured collision railway train railway traffic accident sequela
102,nodular corneal degeneration eye
103,hypertrichosis
104,effusion unspecified hand
105,unspecified injury specified blood vessels shoulder arm unspecified arm
106,breakdown internal fixation device humerus sequela
107,fracture unspecified phalanx middle finger fracture malunion
108,abnormal results studies nervous
109,specified carcinomas liver
110,hemicrania continua
111,acute hematogenous osteomyelitis radius ulna
112,fracture mandible unspecified fracture
113,The line placement
114,puncture wound foreign body unspecified cheek temporomandibular
115,contusion hand
116, breath postoperative
117,jumping diving swimming pool striking causing drowning submersion sequela
118,phlebitis thrombophlebitis unspecified vessels extremities bilateral
119,physical mental strain
120,dislocation hand
121,fatigue fracture vertebra cervical region sequela fracture
122,displaced articular fracture head femur fracture nonunion
123,disorder white blood cells unspecified
124,cutaneous follicle center lymphoma intrathoracic lymph nodes
125,unspecified hereditary corneal dystrophies
126,activity computer electronic devices
127,gastrointestinal mucormycosis
128,displaced fracture coracoid unspecified shoulder fracture
129,Assess endotracheal tube
130,acquired blindness
131,nondisplaced fracture cuboid bone unspecified foot fracture nonunion
132,displaced midcervical fracture unspecified femur fracture iiia iiib iiic nonunion
133,mooren's corneal ulcer bilateral
134,reaction eggs 
135,glaucoma secondary eye inflammation bilateral indeterminate stage
136,unspecified obstruction eustachian tube ear
137,age-related osteoporosis pathological fracture femur fracture nonunion
138,enteropathogenic escherichia coli infection
139,unspecified occupant injured collision sport traffic accident sequela
140,Right pleural effusion
141,sided colitis complication
142,specified hemorrhagic
143,laceration foreign body unspecified front thorax penetration thoracic cavity sequela
144,restaurant cafe place occurrence
145,53 year old woman status post transfusionrelated lung injury
146,nondisplaced transverse fracture shaft radius fracture malunion
147,abscess tendon sheath leg
148,monteggia's fracture unspecified ulna fracture iiia iiib iiic nonunion
149,concussion edema sacral spinal cord
150,nondisplaced fracture middle phalanx unspecified lesser toes fracture healing
151,minor laceration unspecified jugular vein sequela
152,dislocation metatarsophalangeal joint toe sequela
153,monteggia's fracture ulna fracture healing
154,alcoholic gastritis bleeding
155,progressive diaphyseal dysplasia
156,displaced fracture lateral cuneiform unspecified foot fracture
157,complication intrauterine contraceptive device sequela
158,chronic gastric ulcer hemorrhage perforation
159,melas syndrome
160,nondisplaced fracture distal phalanx thumb fracture nonunion
161,hormone sensitive malignancy status
162,cerebral infarction unspecified
163,causalgia bilateral limbs
164,displaced fracture hook hamate unciform bone wrist fracture
165,injury thoracic trachea sequela
